,description,naf5,naf4,naf3,naf2
244,Industrie de fabrication Fabrication d'équipements électriques Fabrication de fils et câbles et équipement d'installation électrique Câbles de fibres de fabrication Fibre optique Fabrication de câbles de fibres optiques,27.31Z,27.31,27.3,27.0
245,Fabrication de l'industrie de la fabrication d'équipements électriques Fabrication de fils et de câbles et d'équipements d'installation électrique Manufacturation d'autres fils et câbles électroniques ou électriques Manufacturation d'autres fils et câbles électriques ou électriques,27.32Z,27.32,27.3,27.0
246,Industrie de fabrication Fabrication d'équipements électriques Fabrication de fil et de câbles et équipements d'installation électrique Fabrication d'équipement d'installation électrique Manufacturation Équipement d'installation électrique,27.33Z,27.33,27.3,27.0
247,Industrie de fabrication Fabrication d'équipements électriques Appareils d'éclairage électrique de fabrication Appareils d'éclairage électrique Manufacturing Dispositifs d'éclairage électrique,27.40Z,27.4,27.4,27.0
248,Industrie manufacturière Manufacturing Electric Manufacturing Momening Appliances Manufacturing Momening Appliances Manufacturing Momening Appliances,27.51Z,27.51,27.5,27.0
249,Industrie manufacturière Fabrication d'équipements électriques Manufacturing Momening Appliances Manufacturing Non-Electric Momening Appliances Manufacturing Non-Electric Momening Appliances,27.52Z,27.52,27.5,27.0
250,Industrie manufacturière Manufacturing Equipment Equiping Manufacturing Autres équipements électriques Fabrication Autres équipements électriques Fabrication d'autres équipements électriques,27.90Z,27.9,27.9,27.0
251,"Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de machines à usage général Moteurs et turbines de fabrication, à l'exception des moteurs et turbines de fabrication d'avions et de véhicules, à l'exception des avions et des avions et des véhicules",28.11Z,28.11,28.1,28.0
252,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de machines à usage général Fabrication d'équipements hydrauliques et pneumatiques fabrication d'équipements hydrauliques et pneumatiques,28.12Z,28.12,28.1,28.0
253,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de machines à usage général Fabrication d'autres pompes et compresseurs Fabrication d'autres pompes et compresseurs,28.13Z,28.13,28.1,28.0
254,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de machines à usage général Fabrication d'autres articles de robinet Fabrication d'autres articles de robinet,28.14Z,28.14,28.1,28.0
255,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de machines à usage général Fabrication d'engrenages et d'organes de transmission mécanique Manufacture d'engrenages et d'organes de transmission mécanique,28.15Z,28.15,28.1,28.0
256,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage général Fabrication de fours et de brûleurs Fabrication de fours et de brûleurs,28.21Z,28.21,28.2,28.0
257,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage général Fabrication d'équipement de levage et de manutention,28.22Z,28.22,28.2,28.0
258,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage général Machines de fabrication et équipement de bureaux (à l'exception des ordinateurs et équipements périphériques) fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et de l'équipement périphérique),28.23Z,28.23,28.2,28.0
259,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage général outil portable de fabrication avec outil portable de fabrication de moteur incorporé avec moteur incorporé,28.24Z,28.24,28.2,28.0
260,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres utilisateurs généraux Fabrication de l'équipement industriel et de réfrigération Industriel Fabrication d'équipements industriels industriels et réfrigérants,28.25Z,28.25,28.2,28.0
261,"Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage général Fabrication de diverses machines à usage général Fabrication d'équipements d'emballage, d'emballage et de pesage",28.29A,28.29,28.2,28.0
262,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage général Fabrication de diverses machines à usage général Fabrication d'autres machines à usage général,28.29B,28.29,28.2,28.0
263,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de machines agricoles et forestières fabrication,28.30Z,28.3,28.3,28.0
264,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de métaux et de machines-outils pour former des machines métalliques pour les machines métalliques métalliques pour le travail métallique,28.41Z,28.41,28.4,28.0
265,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication de métaux et de machines-outils Fabrication d'autres machines-outils Fabrication d'autres machines-outils,28.49Z,28.49,28.4,28.0
266,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage spécifiques Fabrication de métallurgie Machine Manufacture de machines de métallurgie,28.91Z,28.91,28.9,28.0
267,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage spécifiques Machines de fabrication pour l'extraction ou la construction de machines pour l'extraction ou la construction,28.92Z,28.92,28.9,28.0
268,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage spécifiques Machines de fabrication pour l'industrie alimentaire des machines de fabrication pour l'industrie alimentaire,28.93Z,28.93,28.9,28.0
269,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage spécifiques Machines de fabrication pour les industries textiles Machines de fabrication pour les industries textiles,28.94Z,28.94,28.9,28.0
270,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage spécifiques Machines de fabrication pour les industries du papier et du carton Machines de fabrication pour les industries du papier et du carton,28.95Z,28.95,28.9,28.0
271,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines à usage spécifiques Machines de fabrication pour le travail en caoutchouc ou en plastique La machine de fabrication pour un travail en caoutchouc ou en plastique,28.96Z,28.96,28.9,28.0
272,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines d'utilisation spécifiques Fabrication d'autres machines d'utilisation spécifiques N.C.A. Fabrication de machines d'impression,28.99A,28.99,28.9,28.0
273,Industrie manufacturière Machines et équipements de fabrication N.C.A. Fabrication d'autres machines d'utilisation spécifiques Fabrication d'autres machines d'utilisation spécifiques N.C.A. Fabrication d'autres machines spéciales,28.99B,28.99,28.9,28.0
274,Industrie de l'industrie manufacturière Industrie automobile Construction de véhicules à moteur Construction de véhicules à moteur Construction de véhicules à moteur,29.10Z,29.1,29.1,29.0
275,L'industrie de l'industrie manufacturière industrie automobile de la carrosserie et des remorques de fabrication de carrosserie et de bandes de routes de carrosserie et de remorques,29.20Z,29.2,29.2,29.0
276,Industrie de la fabrication Industrie automobile Industrie manufacturier Automobile Manufacturing Electric and Electronic Automobiles Manufacturing Electrical Equipment Automobile Équipement d'automobile,29.31Z,29.31,29.3,29.0
277,Industrie de l'industrie de la fabrication Automobile Industrie manufacturière Équipement de voiture Manufacturé d'autres équipements de voiture Manufacturé d'autres équipements automobiles,29.32Z,29.32,29.3,29.0
278,Industrie manufacturière Manufacturing Equipement de transport Construction navale Construction de navires et structures flottantes Construction de navires et de structures flottantes,30.11Z,30.11,30.1,30.0
279,Industrie manufacturière Manufacturation d'autres matériaux de transport Construction navale Construction de bateaux de plaisir Construction de bateaux de plaisir,30.12Z,30.12,30.1,30.0
280,Industrie manufacturière Manufacturing Autres équipements de transport Construction de locomotives et autres équipements de rail roulants Construction de locomotives et autres équipements de rail roulants Construction de locomotives et autres équipements ferroviaires,30.20Z,30.2,30.2,30.0
281,Industrie manufacturière Manufacturing Equipment de transport Équipement aéronautique et spatial Construction aéronautique et spatiale Construction aéronautique et spatiale,30.30Z,30.3,30.3,30.0
282,Industrie manufacturière Manufacturing d'autres équipements de transport Construction de véhicules de combat militaires Construction de véhicules de combat militaires Construction de véhicules de combat militaires,30.40Z,30.4,30.4,30.0
283,Industrie manufacturière Manufacturation d'autres matériaux de transport Équipement de transport de fabrication N.C.A. Fabrication de motos motos,30.91Z,30.91,30.9,30.0
284,Industrie manufacturière Manufacturation d'autres matériaux de transport Équipement de transport de fabrication N.C.A. Fabrication de vélos et de véhicules pour invalides de fabrication des vélos et véhicules pour les invalides,30.92Z,30.92,30.9,30.0
285,Industrie manufacturière Manufacturation d'autres matériaux de transport Équipement de transport de fabrication N.C.A. Fabrication d'autres équipements de transport N.C.A. Fabrication d'autres équipements de transport N.C.A.,30.99Z,30.99,30.9,30.0
286,Industrie de fabrication Fabrication de meubles Fabrication Fabrication de meubles de bureau et de meubles de meubles de bureau et de meubles de magasin,31.01Z,31.01,31.0,31.0
287,Industrie manufacturière meubles de fabrication meubles de fabrication de fabrication meubles de cuisine de cuisine meubles de cuisine,31.02Z,31.02,31.0,31.0
288,Industrie manufacturière Fabrication Fabrication de matelas Matelas manufacturier Mattress de fabrication,31.03Z,31.03,31.0,31.0
289,Industrie manufacturière Fabrication Fabrication de meubles Fabrication Autre meuble Fabrication de mobilier intérieur,31.09A,31.09,31.0,31.0
290,Industrie de la fabrication Fabrication de meubles Fabrication de meubles Fabrication Autres meubles Fabrication d'autres meubles et industries connexes du mobilier,31.09B,31.09,31.0,31.0
291,"Industrie manufacturière Autres industries manufacturières Articles de bijoux de fabrication, bijoux et articles similaires frappent la monnaie",32.11Z,32.11,32.1,32.0
292,"Industrie de la fabrication Autres industries de fabrication Inteuses de fabrication de bijoux, bijoux et articles similaires bijoux et bijoux bijoux et bijoux de fabrication",32.12Z,32.12,32.1,32.0
293,"Industrie manufacturière Autres industries manufacturières Articles de bijoux de fabrication, bijoux et articles similaires Costumes de fabrication de bijoux de costumes et d'articles similaires Fabrication de costumes de bijoux de costumes et d'articles similaires",32.13Z,32.13,32.1,32.0
294,Industrie manufacturière Autres industries de fabrication Instruments de musique manufacturie,32.20Z,32.2,32.2,32.0
295,Industrie manufacturière Autres industries manufacturières Articles de sport de fabrication Articles de sport de fabrication Articles sportifs de fabrication,32.30Z,32.3,32.3,32.0
296,Industrie manufacturière Autres industries manufacturières Jeux de fabrication et jouets Gabares de fabrication et jouets Gabillement et jouets de fabrication,32.40Z,32.4,32.4,32.0
297,Industrie manufacturière Autres industries manufacturières Fabrication de fabrication d'instruments et de fournitures pour la fabrication d'instruments et de fournitures médicales et dentaires pour la fabrication de matériel médical-chirurgical et dentaire,32.50A,32.5,32.5,32.0
298,Industrie manufacturière Autres industries de fabrication Instruments et fournitures de fabrication à usage médical et dentaire Fabrication d'instruments et de fournitures à usage médical et dentaire,32.50B,32.5,32.5,32.0
299,Industrie manufacturière Autres activités de fabrication de l'industrie manufacturière N.C.A. Fabrication d'articles de pinceau Fabrication des brosses,32.91Z,32.91,32.9,32.0
300,Industrie manufacturière Autres activités de fabrication de l'industrie manufacturière N.C.A. Autres activités de fabrication N.C.A. Autres activités de fabrication N.C.A.,32.99Z,32.99,32.9,32.0
301,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et de l'équipement Réparation des travaux métalliques Réparation des travaux métalliques",33.11Z,33.11,33.1,33.0
302,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et des équipements Réparation des machines et des équipements mécaniques Réparation des machines et équipements mécaniques",33.12Z,33.12,33.1,33.0
303,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et des équipements Réparation de la réparation électronique et de l'optique de l'électronique et de l'optique",33.13Z,33.13,33.1,33.0
304,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux de métal, des machines et des équipements Réparation d'équipements électriques Réparation d'équipements électriques",33.14Z,33.14,33.1,33.0
305,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et de la réparation d'équipement et de la réparation de l'entretien naval et de l'entretien naval",33.15Z,33.15,33.1,33.0
306,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et des équipements Réparation et maintenance de la réparation et de l'entretien des avions et des vaisseaux spatiaux des avions et des vaisseaux spatiaux",33.16Z,33.16,33.1,33.0
307,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et des équipements Réparation et maintenance d'autres équipements de transport Réparation et maintenance d'autres équipements de transport",33.17Z,33.17,33.1,33.0
308,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Réparation des travaux métalliques, des machines et des équipements Réparation d'autres équipements Réparation d'autres équipements",33.19Z,33.19,33.1,33.0
309,"Réparation et installation de l'industrie de la fabrication de machines et d'équipement Installation de machines industrielles et d'installation d'équipement de machines industrielles et d'installation d'équipement de structures métalliques, de chaudron et de tuyauterie",33.20A,33.2,33.2,33.0
310,Réparation et installation de l'industrie de la fabrication de machines et d'équipements Installation de machines industrielles et d'installation d'équipement de machines industrielles et d'installation d'équipement de machines et d'équipements mécaniques,33.20B,33.2,33.2,33.0
311,Réparation et installation de l'industrie manufacturière des machines et équipements Installation de machines industrielles et d'installation d'équipement de machines industrielles et d'équipement conception globale et sur le site industriel de l'équipement de contrôle industriel,33.20C,33.2,33.2,33.0
312,"Réparation et installation de l'industrie de la fabrication de machines et d'équipements Installation de machines industrielles et d'installation d'équipements de machines industrielles et d'installation d'équipement d'équipement électrique, d'équipement électronique et optique ou d'autres matériaux",33.20D,33.2,33.2,33.0
313,"Production et distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution de production d'électricité, de gaz, de vapeur et de climatisation, de transport et de distribution de la production d'électricité de la production d'électricité",35.11Z,35.11,35.1,35.0
314,"Production et distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution de production d'électricité, de gaz, de vapeur et de climatisation, de transport et de distribution du transport d'électricité du transport d'électricité",35.12Z,35.12,35.1,35.0
315,"Production et distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution de la production d'électricité, de gaz, de vapeur et de climatisation, de transport et de distribution de la distribution d'électricité de la distribution d'électricité",35.13Z,35.13,35.1,35.0
316,"Production et distribution de l'électricité, du gaz, de la vapeur et de la climatisation Production et distribution de la production d'électricité, de gaz, de vapeur et de climatisation, de transport et de distribution du commerce de l'électricité dans le commerce de l'électricité",35.14Z,35.14,35.1,35.0
317,"Production et distribution de la production d'électricité, de gaz, de vapeur et de climatisation et de distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution de carburants de gaz Production de carburant de gaz Production de carburant de gaz",35.21Z,35.21,35.2,35.0
318,"Production et distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution de la production d'électricité, de gaz, de vapeur et de climatisation et de distribution des carburants de gaz Distribution de carburant de gaz par la distribution des conduits de carburant de gaz à partir de conduits",35.22Z,35.22,35.2,35.0
319,"Production et distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution d'électricité, de gaz, de vapeur et de climatisation Production et distribution de carburants à gaz pour le carburant de gaz par des conduits de combustibles de gaz à partir de conduits",35.23Z,35.23,35.2,35.0
320,"Production et distribution de la production d'électricité, de gaz, de vapeur et de climatisation et de distribution de la production d'électricité, de gaz, de vapeur et de climatisation et de distribution de la production de vapeur et de climatisation et de distribution de vapeur et de vapeur et la distribution de la production de vapeur et de climatisation et la distribution de vapeur et climatisation",35.30Z,35.3,35.3,35.0
321,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et distribution de l'eau de la collecte, du traitement et de la distribution de la collecte, du traitement et de la distribution de l'eau de la collecte, du traitement et de la distribution de l'eau",36.00Z,36.0,36.0,36.0
322,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution et traitement de la collecte des eaux usées et du traitement de la collecte et du traitement des eaux usées de la collecte et du traitement des eaux usées",37.00Z,37.0,37.0,37.0
323,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et élimination des déchets; Collection de récupération de déchets recueille la collecte de déchets non hazardous de déchets non hazardous",38.11Z,38.11,38.1,38.0
324,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et élimination des déchets; Collection de récupération de déchets recueille les déchets dangereux collection de déchets dangereux",38.12Z,38.12,38.1,38.0
325,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et élimination des déchets; Traitement de récupération et élimination du traitement des déchets et élimination du traitement et élimination des déchets non hazardous des déchets non hazard",38.21Z,38.21,38.2,38.0
326,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et élimination des déchets; Traitement de récupération et élimination du traitement des déchets et élimination du traitement des déchets dangereux et élimination des déchets dangereux",38.22Z,38.22,38.2,38.0
327,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et élimination des déchets; Récupération des épaves de démontage de rétablissement des épaves",38.31Z,38.31,38.3,38.0
328,"production et distribution d'eau; Assainissement, gestion des déchets et collecte de dépollution, traitement et élimination des déchets; Récupération de récupération Récupération de la récupération des déchets triés des déchets triés",38.32Z,38.32,38.3,38.0
329,"production et distribution d'eau; Assainissement, gestion des déchets et dépollution Depollution et autres services de gestion des déchets Dépollution et autres services de gestion des déchets Depollution et autres services de gestion des déchets Depollution et autres services de gestion des déchets",39.00Z,39.0,39.0,39.0
330,Construction Construction de la promotion immobilière pour la promotion immobilière Promotion immobilière du logement,41.10A,41.1,41.1,41.0
331,Construction Construction de la promotion immobilière pour la promotion immobilière Promotion du développement immobilier de l'Office,41.10B,41.1,41.1,41.0
332,Construction Construction de la promotion immobilière pour la promotion immobilière Développement immobilier d'autres bâtiments,41.10C,41.1,41.1,41.0
333,Construction Construction de la promotion immobilière pour le programme de promotion immobilière,41.10D,41.1,41.1,41.0
334,Construction Construction de bâtiments Construction de bâtiments résidentiels et non résidentiels Construction de bâtiments résidentiels et non résidentiels Construction de maisons individuelles,41.20A,41.2,41.2,41.0
335,Construction Construction de bâtiments Construction de bâtiments résidentiels et non résidentiels Construction de bâtiments résidentiels et non résidentiels Construction d'autres bâtiments,41.20B,41.2,41.2,41.0
336,Construction de génie civil Construction des routes et des chemins de fer Construction des routes et des autoroutes Construction des routes et des autoroutes,42.11Z,42.11,42.1,42.0
337,Construction de génie civil Construction des routes et des chemins de fer Construction de la surface et des chemins de fer sous terre Construction de surface et de chemins de fer souterrains,42.12Z,42.12,42.1,42.0
338,Construction de génie civil Construction des routes et des chemins de fer Construction de ponts et tunnels Construction de structures artistiques,42.13A,42.13,42.1,42.0
339,Construction de génie civil Construction des routes et des chemins de fer Construction de ponts et tunnels Construction et entretien des tunnels,42.13B,42.13,42.1,42.0
340,Construction de génie civil Construction de réseaux et de lignes Construction de réseaux pour la construction de réseaux pour les réseaux pour les liquides,42.21Z,42.21,42.2,42.0
341,Construction de génie civil Construction de réseaux et lignes Construction de réseaux électriques et de télécommunications Construction de réseaux électriques et de télécommunications,42.22Z,42.22,42.2,42.0
342,Construction de génie civil Construction d'autres travaux de génie civil Construction des travaux maritimes et fluviaux Construction des travaux maritimes et rivières,42.91Z,42.91,42.9,42.0
343,Construction en génie civil Construction d'autres travaux de génie civil Construction d'autres travaux de génie civil N.C.A. Construction d'autres travaux de génie civil N.C.A.,42.99Z,42.99,42.9,42.0
344,Construction Travaux de construction Specialized Demolition et Préparation des travaux de démolition Travaux de démolition,43.11Z,43.11,43.1,43.0
345,Construction Construction Travail spécialisé Démolition et préparation des sites Préparation des travaux pour les sites de terrassement actuels et de travaux préparatoires,43.12A,43.12,43.1,43.0
346,Construction Travaux de construction Démolition spécialisée et préparation des sites Préparation des travaux pour des sites de terrassement spécialisés ou de grands sites,43.12B,43.12,43.1,43.0
347,Construction Construction Travail spécialisé Démolition et préparation des sites de forage et des enquêtes de forage et enquêtes,43.13Z,43.13,43.1,43.0
348,"Construction Travaux de construction Travaux d'installation électrique spécialisés Travaux d'installation électrique, de plomberie et d'autres travaux d'installation Installation électrique Travail d'installation électrique dans tous les locaux",43.21A,43.21,43.2,43.0
349,"Construction Travaux de construction Installation électrique spécialisée, plomberie et autres travaux d'installation Installation électrique Travaux d'installation électrique sur les routes publiques",43.21B,43.21,43.2,43.0
350,"Construction Travaux de construction Travaux d'installation électrique spécialisés, Plumbing et autres travaux d'installation Travaux de plomberie et chauffage Installation et climatisation des travaux d'installation d'eau et de gaz dans tous les locaux",43.22A,43.22,43.2,43.0
351,"Construction Specialized Construction Travaux d'installation électrique Travaux d'installation, de plomberie et d'autres travaux d'installation Travaux de plomberie et de chauffage Installation et climatisation Installation d'équipements thermiques et de climatisation",43.22B,43.22,43.2,43.0
352,"Construction Travaux de construction Installation électrique spécialisée, plomberie et autres travaux d'installation Autres travaux d'installation Travaux d'isolation",43.29A,43.29,43.2,43.0
353,"Construction Travaux de construction Installation électrique spécialisée, plomberie et autres travaux d'installation Autres travaux d'installation Autres travaux d'installation N.C.A.",43.29B,43.29,43.2,43.0
354,Construction Construction Travaux de construction Specialized Works Plâtrage PlâTRAUT,43.31Z,43.31,43.3,43.0
355,Construction Travaux de construction Specialized Construction Works Carpentry Works Wood et PVC Carpentry Travail,43.32A,43.32,43.3,43.0
356,Construction Travaux de construction Specialized Construction Works Carpentry Works Metallic Metallic et serrurier,43.32B,43.32,43.3,43.0
357,Construction Travaux de construction Specialized Construction Works Carpentry Works Admitation des lieux de vente,43.32C,43.32,43.3,43.0
358,Construction Travaux de construction Specialized Construction Works Document Works pour les sols et les murs de revêtement de sol et de murs,43.33Z,43.33,43.3,43.0
359,Construction Construction Travaux de construction Specialized Works Painting and Glass Works Painting and Glass,43.34Z,43.34,43.3,43.0
360,Construction Travaux de construction Travaux de finition spécialisés Autres travaux de finition Autres travaux de finition,43.39Z,43.39,43.3,43.0
361,Construction Construction Works Specialized Building Work Specialized Construction Work Work Work Work,43.91A,43.91,43.9,43.0
362,Construction Construction Works Specialized Works Construction Specialized Cover Cover Cover Couverture Travail par éléments,43.91B,43.91,43.9,43.0
363,Construction Construction Works Specialized d'autres travaux de construction spécialisés Autres travaux de construction spécialisés N.C.A. Travail standard,43.99A,43.99,43.9,43.0
364,Construction Construction Travaux spécialisés Autres travaux de construction spécialisés Autres travaux de construction spécialisés N.C.A. Travail d'assemblage des structures métalliques,43.99B,43.99,43.9,43.0
365,Construction Construction Works Specialized d'autres travaux de construction spécialisés Autres travaux de construction spécialisés N.C.A. Travail général de maçonnerie et travail de construction,43.99C,43.99,43.9,43.0
366,Construction Construction Travaux spécialisés Autres travaux de construction spécialisés Autres travaux de construction spécialisés N.C.A. Autres travaux de construction spécialisés,43.99D,43.99,43.9,43.0
367,Construction Construction Travaux spécialisés Autres travaux de construction spécialisés Autres travaux de construction spécialisés N.C.A. Location avec opérateur d'équipement de construction,43.99E,43.99,43.9,43.0
368,Commerce ; Réparation des automobiles et des motos échangez et la réparation des voitures et des motos échangez des véhicules à moteur en voiture et en véhicules à moteur légers échangez en voiture et en véhicules,45.11Z,45.11,45.1,45.0
369,Commerce ; Réparation des automobiles et des motos échangez et la réparation des voitures et des motos échangez des véhicules à moteur à partir d'autres véhicules à moteur dans d'autres véhicules à moteur,45.19Z,45.19,45.1,45.0
370,Commerce ; Réparation des automobiles et des motos,45.20A,45.2,45.2,45.0
371,Commerce ; Réparation des automobiles et des motos,45.20B,45.2,45.2,45.0
372,Commerce ; Réparation des automobiles et des motos échangez et réparation des voitures et des motos échangez des équipements automobiles en gros de l'équipement de voiture en gros de l'équipement de l'équipement de voiture,45.31Z,45.31,45.3,45.0
373,Commerce ; Réparation des automobiles et des motos,45.32Z,45.32,45.3,45.0
374,Commerce ; Réparation du commerce des automobiles et des motos et la réparation des voitures et des motos,45.40Z,45.4,45.4,45.0
375,Commerce ; Réparation des automobiles et des motos produits finis,46.11Z,46.11,46.1,46.0
376,Commerce ; Réparation des automobiles et des motos,46.12A,46.12,46.1,46.0
377,Commerce ; Réparation des automobiles et des motos,46.12B,46.12,46.1,46.0
378,Commerce ; Réparation des automobiles et des motos,46.13Z,46.13,46.1,46.0
379,Commerce ; Réparation des automobiles et des motos,46.14Z,46.14,46.1,46.0
380,Commerce ; Réparation des automobiles et des motos,46.15Z,46.15,46.1,46.0
381,Commerce ; Réparation des automobiles et des motos,46.16Z,46.16,46.1,46.0
382,Commerce ; Réparation des automobiles et des motos,46.17A,46.17,46.1,46.0
383,Commerce ; Réparation des automobiles et des motos,46.17B,46.17,46.1,46.0
384,Commerce ; Réparation des automobiles et des motos,46.18Z,46.18,46.1,46.0
385,Commerce ; Réparation des automobiles et des motos,46.19A,46.19,46.1,46.0
386,Commerce ; Réparation des automobiles et des motos,46.19B,46.19,46.1,46.0
387,Commerce ; Réparation des automobiles et des motos et la nourriture pour le bétail,46.21Z,46.21,46.2,46.0
388,Commerce ; Réparation des automobiles et des motos,46.22Z,46.22,46.2,46.0
389,Commerce ; Réparation des automobiles et des motos,46.23Z,46.23,46.2,46.0
390,Commerce ; Réparation des automobiles et des motos,46.24Z,46.24,46.2,46.0
391,Commerce ; Réparation des automobiles et des motos,46.31Z,46.31,46.3,46.0
392,Commerce ; Réparation des automobiles et des motos,46.32A,46.32,46.3,46.0
393,Commerce ; Réparation des automobiles et des motos,46.32B,46.32,46.3,46.0
394,Commerce ; Réparation des automobiles et des motos,46.32C,46.32,46.3,46.0
395,Commerce ; Réparation des automobiles et des motos,46.33Z,46.33,46.3,46.0
396,Commerce ; Réparation des automobiles et des motos,46.34Z,46.34,46.3,46.0
397,Commerce ; Réparation des automobiles et des motos,46.35Z,46.35,46.3,46.0
398,Commerce ; Réparation des automobiles et des motos,46.36Z,46.36,46.3,46.0
399,Commerce ; Réparation des automobiles et des motos,46.37Z,46.37,46.3,46.0
400,Commerce ; Réparation des automobiles et des motos,46.38A,46.38,46.3,46.0
401,Commerce ; Réparation des automobiles et des motos,46.38B,46.38,46.3,46.0
402,Commerce ; Réparation des automobiles et des motos,46.39A,46.39,46.3,46.0
403,Commerce ; Réparation des automobiles et des motos,46.39B,46.39,46.3,46.0
404,Commerce ; Réparation des automobiles et des motos,46.41Z,46.41,46.4,46.0
405,Commerce ; Réparation des automobiles et des motos,46.42Z,46.42,46.4,46.0
406,Commerce ; Réparation des automobiles et des motos,46.43Z,46.43,46.4,46.0
407,Commerce ; Réparation des automobiles et des motos,46.44Z,46.44,46.4,46.0
408,Commerce ; Réparation des automobiles et des motos,46.45Z,46.45,46.4,46.0
409,Commerce ; Réparation des automobiles et des motos,46.46Z,46.46,46.4,46.0
410,Commerce ; Réparation des automobiles et des motos,46.47Z,46.47,46.4,46.0
411,Commerce ; Réparation des automobiles et des motos,46.48Z,46.48,46.4,46.0
412,Commerce ; Réparation des automobiles et des motos,46.49Z,46.49,46.4,46.0
413,Commerce ; Réparation des automobiles et des motos,46.51Z,46.51,46.5,46.0
414,Commerce ; Réparation des automobiles et des motos,46.52Z,46.52,46.5,46.0
415,Commerce ; Réparation des automobiles et des motos,46.61Z,46.61,46.6,46.0
416,Commerce ; Réparation des automobiles et des motos,46.62Z,46.62,46.6,46.0
417,Commerce ; Réparation des automobiles et des motos,46.63Z,46.63,46.6,46.0
418,Commerce ; Réparation des automobiles et des motos,46.64Z,46.64,46.6,46.0
419,Commerce ; Réparation des automobiles et des motos,46.65Z,46.65,46.6,46.0
420,Commerce ; Réparation des automobiles et des motos,46.66Z,46.66,46.6,46.0
421,Commerce ; Réparation des automobiles et des motos,46.69A,46.69,46.6,46.0
422,Commerce ; Réparation des automobiles et des motos,46.69B,46.69,46.6,46.0
423,Commerce ; Réparation des automobiles et des motos,46.69C,46.69,46.6,46.0
424,Commerce ; Réparation des automobiles et des motos,46.71Z,46.71,46.7,46.0
425,Commerce ; Réparation des automobiles et des motos,46.72Z,46.72,46.7,46.0
426,Commerce ; Réparation des automobiles et des motos,46.73A,46.73,46.7,46.0
427,Commerce ; Réparation des automobiles et des motos,46.73B,46.73,46.7,46.0
428,Commerce ; Réparation des automobiles et des motos,46.74A,46.74,46.7,46.0
429,Commerce ; Réparation des automobiles et des motos,46.74B,46.74,46.7,46.0
430,Commerce ; Réparation des automobiles et des motos,46.75Z,46.75,46.7,46.0
